rank,uid,username,type,accompany,medal_name,medal_level
1,222569776,御小仙_,舰长,59,小丸艺,26
2,45331405,青鈫,舰长,172,小丸艺,26
3,3546567229311018,逍-遥-自-在-,舰长,116,小丸艺,25
4,1784237452,幸运版金太狼,舰长,81,小丸艺,25
5,3546813342682040,神秘人_0019,舰长,129,小丸艺,24
6,3546647397141444,是千栀,舰长,51,小丸艺,24
7,3546888569620883,桃初桃出吃桃酥,舰长,40,小丸艺,23
8,518498472,周周鸭zz,舰长,50,小丸艺,22
9,21532767,LuxorSky,舰长,51,小丸艺,22
10,524964523,吃牛丸不吃鱼丸,舰长,26,小丸艺,22
11,35320908,想吃核桃酥的核桃,舰长,31,小丸艺,22
12,1306582624,星空奶芙,舰长,18,小丸艺,21
13,3546623024040344,-爱不爱吃香菜-,舰长,30,小丸艺,21
